time,co2
2022-09-13T00:04:32,980
2022-09-13T00:09:32,965
2022-09-13T00:14:32,979
2022-09-13T00:19:33,974
2022-09-13T00:24:33,995
2022-09-13T00:29:34,995
2022-09-13T00:34:34,993
2022-09-13T00:39:34,1005
2022-09-13T00:44:35,986
2022-09-13T00:49:35,997
2022-09-13T00:54:35,978
2022-09-13T00:59:36,990
2022-09-13T01:04:36,803
2022-09-13T01:09:36,991
2022-09-13T01:14:37,969
2022-09-13T01:19:37,956
2022-09-13T01:24:37,776
2022-09-13T01:29:38,976
2022-09-13T01:34:38,830
2022-09-13T01:39:38,942
2022-09-13T01:44:39,921
2022-09-13T01:49:39,752
2022-09-13T01:54:39,833
2022-09-13T01:59:40,958
2022-09-13T02:04:40,701
2022-09-13T02:09:40,882
2022-09-13T02:14:41,1008
2022-09-13T02:19:41,1006
2022-09-13T02:24:41,1023
2022-09-13T02:29:42,1001
2022-09-13T02:34:42,1005
2022-09-13T02:39:42,999
2022-09-13T02:44:43,1017
2022-09-13T02:49:43,1011
2022-09-13T02:54:44,969
2022-09-13T02:59:44,972
2022-09-13T03:04:44,803
2022-09-13T03:09:45,932
2022-09-13T03:14:45,939
2022-09-13T03:19:45,970
2022-09-13T03:24:46,858
2022-09-13T03:29:46,919
2022-09-13T03:34:46,1007
2022-09-13T03:39:47,999
2022-09-13T03:44:47,1003
2022-09-13T03:49:47,1007
2022-09-13T03:54:48,1013
2022-09-13T03:59:48,907
2022-09-13T04:04:49,980
2022-09-13T04:09:49,983
2022-09-13T04:14:49,995
2022-09-13T04:19:50,868
2022-09-13T04:24:50,1006
2022-09-13T04:29:50,1000
2022-09-13T04:34:51,973
2022-09-13T04:39:51,996
2022-09-13T04:44:51,995
2022-09-13T04:49:52,984
2022-09-13T04:54:52,1017
2022-09-13T04:59:53,979
2022-09-13T05:04:53,976
2022-09-13T05:09:53,965
2022-09-13T05:14:54,990
2022-09-13T05:19:54,1008
2022-09-13T05:24:54,699
2022-09-13T05:29:55,992
2022-09-13T05:34:55,1109
2022-09-13T05:39:56,1126
2022-09-13T05:44:56,1140
2022-09-13T05:49:57,1148
2022-09-13T05:54:57,1145
2022-09-13T05:59:57,1163
2022-09-13T06:04:58,1085
2022-09-13T06:09:58,1164
2022-09-13T06:14:58,1175
2022-09-13T06:19:59,1135
2022-09-13T06:24:59,1173
2022-09-13T06:29:59,1186
2022-09-13T06:35:00,1144
2022-09-13T06:40:00,1185
2022-09-13T06:45:00,1188
2022-09-13T06:50:01,1188
2022-09-13T06:55:01,1188
2022-09-13T07:00:01,1178
2022-09-13T07:05:02,1179
2022-09-13T07:10:02,1176
2022-09-13T07:15:03,1164
2022-09-13T07:20:03,1165
2022-09-13T07:25:03,1161
2022-09-13T07:30:04,1158
2022-09-13T07:35:04,1162
2022-09-13T07:40:04,1175
2022-09-13T07:45:05,1183
2022-09-13T07:50:05,1187
2022-09-13T07:55:05,1191
2022-09-13T08:00:06,1188
2022-09-13T08:05:06,1187
2022-09-13T08:10:07,1182
2022-09-13T08:15:07,1183
2022-09-13T08:20:07,1181
2022-09-13T08:25:08,1185
2022-09-13T08:30:08,1189
2022-09-13T08:35:08,1178
2022-09-13T08:40:09,1175
2022-09-13T08:45:09,1170
2022-09-13T08:50:10,1151
2022-09-13T08:55:10,1140
2022-09-13T09:00:10,1143
2022-09-13T09:05:11,1145
2022-09-13T09:10:11,1152
2022-09-13T09:15:11,1144
2022-09-13T09:20:12,1146
2022-09-13T09:25:12,1145
2022-09-13T09:30:13,1143
2022-09-13T09:35:13,1140
2022-09-13T09:40:13,1146
2022-09-13T09:45:14,1146
2022-09-13T09:50:14,1138
2022-09-13T09:55:15,1123
2022-09-13T10:00:15,1115
2022-09-13T10:05:15,1114
2022-09-13T10:10:16,1103
2022-09-13T10:15:16,1080
2022-09-13T10:20:16,1068
2022-09-13T10:25:17,1058
2022-09-13T10:30:17,1042
2022-09-13T10:35:17,1038
2022-09-13T10:40:17,1031
2022-09-13T10:45:18,1039
2022-09-13T10:50:18,1043
2022-09-13T10:55:19,1062
2022-09-13T11:00:19,1067
2022-09-13T11:05:19,1061
2022-09-13T11:10:19,1095
2022-09-13T11:15:20,1121
2022-09-13T11:20:20,1140
2022-09-13T11:25:20,1139
2022-09-13T11:30:20,1113
2022-09-13T11:35:21,1094
2022-09-13T11:40:21,1078
2022-09-13T11:45:21,1047
2022-09-13T11:50:21,1014
2022-09-13T11:55:22,998
2022-09-13T12:00:22,976
2022-09-13T12:05:22,946
2022-09-13T12:10:23,929
2022-09-13T12:15:23,910
2022-09-13T12:20:23,891
2022-09-13T12:25:23,887
2022-09-13T12:30:24,878
2022-09-13T12:35:24,870
2022-09-13T12:40:24,857
2022-09-13T12:45:24,845
2022-09-13T12:50:25,841
2022-09-13T12:55:25,836
2022-09-13T13:00:25,824
2022-09-13T13:05:26,818
2022-09-13T13:10:26,818
2022-09-13T13:15:26,807
2022-09-13T13:20:26,798
2022-09-13T13:25:27,799
2022-09-13T13:30:27,794
2022-09-13T13:35:27,793
2022-09-13T13:40:28,789
2022-09-13T13:45:28,783
2022-09-13T13:50:28,784
2022-09-13T13:55:28,787
2022-09-13T14:00:29,776
2022-09-13T14:05:29,781
2022-09-13T14:10:29,769
2022-09-13T14:15:30,766
2022-09-13T14:20:30,758
2022-09-13T14:25:30,750
2022-09-13T14:30:30,761
2022-09-13T14:35:31,762
2022-09-13T14:40:31,758
2022-09-13T14:45:31,756
2022-09-13T14:50:32,748
2022-09-13T14:55:32,760
2022-09-13T15:00:32,752
2022-09-13T15:05:33,751
2022-09-13T15:10:33,737
2022-09-13T15:15:33,719
2022-09-13T15:20:33,704
2022-09-13T15:25:34,685
2022-09-13T15:30:34,671
2022-09-13T15:35:34,671
2022-09-13T15:40:35,664
2022-09-13T15:45:35,651
2022-09-13T15:50:36,639
2022-09-13T15:55:36,645
2022-09-13T16:00:36,641
2022-09-13T16:05:37,658
2022-09-13T16:10:37,667
2022-09-13T16:15:37,672
2022-09-13T16:20:37,666
2022-09-13T16:25:38,667
2022-09-13T16:30:38,682
2022-09-13T16:35:38,713
2022-09-13T16:40:39,720
2022-09-13T16:45:39,727
2022-09-13T16:50:39,722
2022-09-13T16:55:40,726
2022-09-13T17:00:40,716
2022-09-13T17:05:40,712
2022-09-13T17:10:40,714
2022-09-13T17:15:41,718
2022-09-13T17:20:41,720
2022-09-13T17:25:41,710
2022-09-13T17:30:42,699
2022-09-13T17:35:42,696
2022-09-13T17:40:42,695
2022-09-13T17:45:43,687
2022-09-13T17:50:43,698
2022-09-13T17:55:43,752
2022-09-13T18:00:43,748
2022-09-13T18:05:44,743
2022-09-13T18:10:44,736
2022-09-13T18:15:44,735
2022-09-13T18:20:45,741
2022-09-13T18:25:45,738
2022-09-13T18:30:45,731
2022-09-13T18:35:46,731
2022-09-13T18:40:46,724
2022-09-13T18:45:46,711
2022-09-13T18:50:47,713
2022-09-13T18:55:47,721
2022-09-13T19:00:47,714
2022-09-13T19:05:48,702
2022-09-13T19:10:48,697
2022-09-13T19:15:48,698
2022-09-13T19:20:48,696
2022-09-13T19:25:49,688
2022-09-13T19:30:49,714
2022-09-13T19:35:49,758
2022-09-13T19:40:50,750
2022-09-13T19:45:50,743
2022-09-13T19:50:50,753
2022-09-13T22:31:10,920
2022-09-13T22:47:29,996
2022-09-13T22:49:51,936
2022-09-13T22:54:52,1027
2022-09-13T22:56:14,1109
2022-09-13T23:01:14,1317
2022-09-13T23:06:14,905
2022-09-13T23:11:15,898
2022-09-13T23:16:15,889
2022-09-13T23:21:15,889
2022-09-13T23:26:16,885
2022-09-13T23:31:16,880
2022-09-13T23:36:16,880
2022-09-13T23:41:17,878
2022-09-13T23:46:17,879
2022-09-13T23:51:18,881
2022-09-13T23:56:18,886
