time,co2
2022-09-19T00:00:46,529
2022-09-19T00:06:10,540
2022-09-19T00:11:34,519
2022-09-19T00:16:58,545
2022-09-19T00:22:22,544
2022-09-19T00:27:46,560
2022-09-19T00:33:10,548
2022-09-19T00:38:35,569
2022-09-19T00:43:59,535
2022-09-19T00:49:23,500
2022-09-19T00:54:47,510
2022-09-19T01:00:12,496
2022-09-19T01:05:36,523
2022-09-19T01:11:01,509
2022-09-19T01:16:25,518
2022-09-19T01:21:50,506
2022-09-19T01:27:14,501
2022-09-19T01:32:38,524
2022-09-19T01:38:03,522
2022-09-19T01:43:27,501
2022-09-19T01:48:52,506
2022-09-19T01:54:16,502
2022-09-19T01:59:41,500
2022-09-19T02:05:05,498
2022-09-19T02:10:29,507
2022-09-19T02:15:54,504
2022-09-19T02:21:18,475
2022-09-19T02:26:43,519
2022-09-19T02:32:07,500
2022-09-19T02:37:31,482
2022-09-19T02:42:56,506
2022-09-19T02:48:20,485
2022-09-19T02:53:45,502
2022-09-19T02:59:09,519
2022-09-19T03:04:34,470
2022-09-19T03:09:58,498
2022-09-19T03:15:23,506
2022-09-19T03:20:47,501
2022-09-19T03:26:12,496
2022-09-19T03:31:36,516
2022-09-19T03:37:00,501
2022-09-19T03:42:25,512
2022-09-19T03:47:50,517
2022-09-19T03:53:14,481
2022-09-19T03:58:39,515
2022-09-19T04:04:04,505
2022-09-19T04:09:28,519
2022-09-19T04:14:53,522
2022-09-19T04:20:17,515
2022-09-19T04:25:42,538
2022-09-19T04:31:06,532
2022-09-19T04:36:30,530
2022-09-19T04:41:55,527
2022-09-19T04:47:19,529
2022-09-19T04:52:43,546
2022-09-19T04:58:07,537
2022-09-19T05:03:31,539
2022-09-19T05:08:55,505
2022-09-19T05:14:19,564
2022-09-19T05:19:44,543
2022-09-19T05:25:08,547
2022-09-19T05:30:32,546
2022-09-19T05:35:57,581
2022-09-19T05:41:21,571
2022-09-19T05:46:45,547
2022-09-19T05:52:10,683
2022-09-19T05:57:34,571
2022-09-19T06:02:58,551
2022-09-19T06:08:23,559
2022-09-19T06:13:47,599
2022-09-19T06:19:12,577
2022-09-19T06:24:36,558
2022-09-19T06:30:00,574
2022-09-19T06:35:24,572
2022-09-19T06:40:49,550
2022-09-19T06:46:13,553
2022-09-19T06:51:38,541
2022-09-19T06:57:02,524
2022-09-19T07:02:26,527
2022-09-19T07:07:51,544
2022-09-19T07:13:15,532
2022-09-19T07:18:39,539
2022-09-19T07:24:03,535
