time,co2
2022-09-23T00:06:29,886
2022-09-23T00:16:49,890
2022-09-23T00:27:08,898
2022-09-23T00:37:28,902
2022-09-23T00:47:47,900
2022-09-23T00:58:07,906
2022-09-23T01:08:27,905
2022-09-23T01:18:46,917
2022-09-23T01:29:06,925
2022-09-23T01:39:25,923
2022-09-23T01:49:45,918
2022-09-23T02:00:04,931
2022-09-23T02:10:24,933
2022-09-23T02:20:42,927
2022-09-23T02:31:02,931
2022-09-23T02:41:22,930
2022-09-23T02:51:41,934
2022-09-23T03:02:00,940
2022-09-23T03:12:20,938
2022-09-23T03:22:39,942
2022-09-23T03:32:58,947
2022-09-23T03:43:18,952
2022-09-23T03:53:37,956
2022-09-23T04:03:57,947
2022-09-23T04:14:17,946
2022-09-23T04:24:36,948
2022-09-23T04:34:56,953
2022-09-23T04:45:16,957
2022-09-23T04:55:36,957
2022-09-23T05:05:55,1058
2022-09-23T05:16:15,979
2022-09-23T05:26:35,998
2022-09-23T05:36:55,1014
2022-09-23T05:47:15,1044
2022-09-23T05:57:35,1055
2022-09-23T06:07:55,1052
2022-09-23T06:18:15,1031
2022-09-23T06:28:35,1024
2022-09-23T06:38:55,1006
2022-09-23T06:49:15,986
2022-09-23T06:59:35,976
2022-09-23T07:09:55,963
2022-09-23T07:20:14,954
2022-09-23T07:30:34,949
2022-09-23T07:40:54,954
2022-09-23T07:51:13,958
2022-09-23T08:01:33,943
2022-09-23T08:11:53,940
2022-09-23T08:22:13,930
2022-09-23T08:32:32,932
2022-09-23T08:42:52,929
2022-09-23T08:53:11,920
2022-09-23T09:03:31,910
2022-09-23T09:13:51,899
2022-09-23T09:24:10,904
2022-09-23T09:34:29,841
2022-09-23T09:44:49,738
2022-09-23T09:55:08,708
2022-09-23T10:05:27,648
2022-09-23T10:15:47,652
2022-09-23T10:26:06,641
2022-09-23T10:36:27,618
2022-09-23T10:46:46,606
2022-09-23T10:57:06,592
2022-09-23T11:07:26,568
2022-09-23T11:17:46,563
2022-09-23T11:28:06,549
2022-09-23T11:38:26,550
2022-09-23T11:48:46,552
2022-09-23T11:59:06,549
2022-09-23T12:09:26,551
2022-09-23T12:19:46,549
2022-09-23T12:30:06,547
2022-09-23T12:40:26,554
2022-09-23T12:50:45,551
2022-09-23T13:01:05,547
2022-09-23T13:11:25,539
2022-09-23T13:21:45,552
2022-09-23T13:32:05,546
2022-09-23T13:42:24,737
2022-09-23T13:52:43,1001
2022-09-23T14:03:02,1053
2022-09-23T14:13:21,1008
2022-09-23T14:23:40,1008
2022-09-23T14:33:59,994
2022-09-23T14:44:18,1005
2022-09-23T14:54:37,1021
2022-09-23T15:04:57,1019
2022-09-23T15:15:16,1035
2022-09-23T15:25:35,1047
2022-09-23T15:35:55,1057
2022-09-23T15:46:15,1039
2022-09-23T15:56:34,1036
2022-09-23T16:06:53,1030
2022-09-23T16:17:13,977
2022-09-23T16:27:32,987
2022-09-23T16:37:53,980
2022-09-23T16:48:13,981
2022-09-23T16:58:32,948
2022-09-23T17:08:52,911
2022-09-23T17:19:12,897
2022-09-23T17:29:31,885
2022-09-23T17:39:51,892
2022-09-23T17:50:11,875
2022-09-23T18:00:31,868
2022-09-23T18:10:50,771
2022-09-23T18:21:10,697
2022-09-23T18:31:29,581
2022-09-23T18:41:49,565
2022-09-23T18:52:09,588
2022-09-23T19:02:28,615
2022-09-23T19:12:48,624
2022-09-23T19:23:08,729
2022-09-23T19:33:27,702
2022-09-23T19:43:47,716
2022-09-23T19:54:07,720
2022-09-23T20:04:26,722
2022-09-23T20:14:46,699
2022-09-23T20:25:06,699
2022-09-23T20:35:25,730
2022-09-23T20:45:45,739
2022-09-23T20:56:04,756
2022-09-23T21:06:24,769
2022-09-23T21:16:44,775
2022-09-23T21:27:03,774
2022-09-23T21:37:23,790
2022-09-23T21:47:43,798
2022-09-23T21:58:02,799
2022-09-23T22:08:22,817
2022-09-23T22:18:42,818
2022-09-23T22:29:02,821
2022-09-23T22:39:21,832
2022-09-23T22:49:41,836
2022-09-23T23:00:01,843
2022-09-23T23:10:20,857
2022-09-23T23:20:41,852
2022-09-23T23:31:01,859
2022-09-23T23:41:20,855
2022-09-23T23:51:40,864
