time,co2
2022-09-25T00:08:17,739
2022-09-25T00:18:37,741
2022-09-25T00:28:56,749
2022-09-25T00:39:16,743
2022-09-25T00:49:36,745
2022-09-25T00:59:55,761
2022-09-25T01:10:15,775
2022-09-25T01:20:35,766
2022-09-25T01:30:55,767
2022-09-25T01:41:15,765
2022-09-25T01:51:35,768
2022-09-25T02:01:54,773
2022-09-25T02:12:14,778
2022-09-25T02:22:34,784
2022-09-25T02:32:54,783
2022-09-25T02:43:14,787
2022-09-25T02:53:34,800
2022-09-25T03:03:54,795
2022-09-25T03:14:14,790
2022-09-25T03:24:34,800
2022-09-25T03:34:54,804
2022-09-25T03:45:14,799
2022-09-25T03:55:33,805
2022-09-25T04:05:53,804
2022-09-25T04:16:13,805
2022-09-25T04:26:33,817
2022-09-25T04:36:53,806
2022-09-25T04:47:13,796
2022-09-25T04:57:33,799
2022-09-25T05:07:53,793
2022-09-25T05:18:13,790
2022-09-25T05:28:33,784
2022-09-25T05:38:52,785
2022-09-25T05:49:12,796
2022-09-25T05:59:32,790
2022-09-25T06:09:52,804
2022-09-25T06:20:12,800
2022-09-25T06:30:32,805
2022-09-25T06:40:52,810
2022-09-25T06:51:13,820
2022-09-25T07:01:34,825
2022-09-25T07:11:54,817
2022-09-25T07:22:15,821
2022-09-25T07:32:35,824
2022-09-25T07:42:55,831
2022-09-25T07:53:16,821
2022-09-25T08:03:36,915
2022-09-25T08:13:56,886
2022-09-25T08:24:17,871
2022-09-25T08:34:38,873
2022-09-25T08:44:58,880
2022-09-25T08:55:19,877
2022-09-25T09:05:40,882
2022-09-25T09:16:00,892
2022-09-25T09:26:20,912
2022-09-25T09:36:41,899
2022-09-25T09:47:01,897
2022-09-25T09:57:22,882
2022-09-25T10:07:43,866
2022-09-25T10:18:03,795
2022-09-25T10:28:24,749
2022-09-25T10:38:44,700
2022-09-25T10:49:04,630
2022-09-25T10:59:24,584
2022-09-25T11:09:44,559
2022-09-25T11:20:04,547
2022-09-25T11:30:24,532
2022-09-25T11:40:44,510
2022-09-25T11:51:05,525
2022-09-25T12:01:25,527
2022-09-25T12:11:45,513
2022-09-25T12:22:06,502
2022-09-25T12:32:26,493
2022-09-25T12:42:46,485
2022-09-25T12:53:06,484
2022-09-25T13:03:25,475
2022-09-25T13:13:45,482
2022-09-25T13:24:05,482
2022-09-25T13:34:26,496
2022-09-25T13:44:46,483
2022-09-25T13:55:06,478
2022-09-25T14:05:26,485
2022-09-25T14:15:47,480
2022-09-25T14:26:07,481
2022-09-25T14:36:28,508
2022-09-25T14:46:48,526
2022-09-25T14:57:08,529
2022-09-25T15:07:29,521
2022-09-25T15:17:49,513
2022-09-25T15:28:10,518
2022-09-25T15:38:30,519
2022-09-25T15:48:51,521
2022-09-25T15:59:11,521
2022-09-25T16:09:31,533
2022-09-25T16:19:51,522
2022-09-25T16:30:11,511
2022-09-25T16:40:31,556
2022-09-25T17:07:40,624
2022-09-25T17:18:00,545
2022-09-25T17:28:20,570
2022-09-25T17:38:40,558
2022-09-25T17:49:00,551
2022-09-25T17:59:20,563
2022-09-25T18:09:40,568
2022-09-25T18:20:00,596
2022-09-25T18:30:21,620
2022-09-25T18:39:19,627
2022-09-25T18:42:44,629
2022-09-25T18:44:48,633
2022-09-25T18:46:52,634
2022-09-25T18:48:55,640
2022-09-25T18:51:00,644
2022-09-25T18:53:04,648
2022-09-25T18:55:08,643
2022-09-25T18:57:12,649
2022-09-25T18:59:16,711
2022-09-25T19:01:20,687
2022-09-25T19:03:24,663
2022-09-25T19:05:28,664
2022-09-25T19:07:32,663
2022-09-25T19:09:36,646
2022-09-25T19:11:41,632
2022-09-25T19:13:45,622
2022-09-25T19:15:49,650
2022-09-25T19:17:53,618
2022-09-25T19:19:57,622
2022-09-25T19:22:01,622
2022-09-25T19:24:05,623
2022-09-25T19:26:09,628
2022-09-25T19:28:13,629
2022-09-25T19:30:17,641
2022-09-25T19:32:21,639
2022-09-25T19:34:26,639
2022-09-25T19:36:30,651
2022-09-25T19:38:34,650
2022-09-25T19:40:38,654
2022-09-25T19:42:42,650
2022-09-25T19:44:46,687
2022-09-25T19:47:42,659
2022-09-25T19:49:46,663
2022-09-25T19:51:50,712
2022-09-25T19:53:55,686
2022-09-25T19:55:59,638
