time,co2
2022-09-24T00:02:00,869
2022-09-24T00:12:20,880
2022-09-24T00:22:40,894
2022-09-24T00:32:59,895
2022-09-24T00:43:19,895
2022-09-24T00:53:38,896
2022-09-24T01:03:58,905
2022-09-24T01:14:18,908
2022-09-24T01:24:37,912
2022-09-24T01:34:57,907
2022-09-24T01:45:16,919
2022-09-24T01:55:36,916
2022-09-24T02:05:56,930
2022-09-24T02:16:16,933
2022-09-24T02:26:35,930
2022-09-24T02:36:55,943
2022-09-24T02:47:15,944
2022-09-24T02:57:34,952
2022-09-24T03:07:54,946
2022-09-24T03:18:13,949
2022-09-24T03:28:32,959
2022-09-24T03:38:52,951
2022-09-24T03:49:12,959
2022-09-24T03:59:32,968
2022-09-24T04:09:52,975
2022-09-24T04:20:13,976
2022-09-24T04:30:33,974
2022-09-24T04:40:52,973
2022-09-24T04:51:13,983
2022-09-24T05:01:32,985
2022-09-24T05:11:53,989
2022-09-24T05:22:12,993
2022-09-24T05:32:32,990
2022-09-24T05:42:52,996
2022-09-24T05:53:12,999
2022-09-24T06:03:32,1001
2022-09-24T06:13:52,1020
2022-09-24T06:24:12,1007
2022-09-24T06:34:32,1004
2022-09-24T06:44:53,1011
2022-09-24T06:55:13,1018
2022-09-24T07:05:33,1021
2022-09-24T07:15:52,1022
2022-09-24T07:26:12,1016
2022-09-24T07:36:32,1143
2022-09-24T07:46:53,1105
2022-09-24T07:57:14,1095
2022-09-24T08:07:34,1141
2022-09-24T08:17:54,1185
2022-09-24T08:28:14,1201
2022-09-24T08:38:34,1201
2022-09-24T08:48:54,1204
2022-09-24T08:59:14,1204
2022-09-24T09:09:34,1209
2022-09-24T09:19:54,1271
2022-09-24T09:30:14,1205
2022-09-24T09:40:34,1207
2022-09-24T09:50:54,1197
2022-09-24T10:01:14,1205
2022-09-24T10:11:34,1195
2022-09-24T10:21:54,1188
2022-09-24T10:32:14,1165
2022-09-24T10:42:33,1120
2022-09-24T10:52:53,1120
2022-09-24T11:03:13,1110
2022-09-24T11:13:32,1080
2022-09-24T11:23:52,1040
2022-09-24T11:34:12,930
2022-09-24T11:44:32,841
2022-09-24T11:54:52,766
2022-09-24T12:05:11,750
2022-09-24T12:15:31,774
2022-09-24T12:25:51,655
2022-09-24T12:36:11,616
2022-09-24T12:46:30,659
2022-09-24T12:56:50,647
2022-09-24T13:07:09,605
2022-09-24T13:17:29,674
2022-09-24T13:27:49,632
2022-09-24T13:38:08,632
2022-09-24T13:48:28,680
2022-09-24T13:58:47,632
2022-09-24T14:09:07,618
2022-09-24T14:19:26,626
2022-09-24T14:29:46,637
2022-09-24T14:40:06,635
2022-09-24T14:50:26,652
2022-09-24T15:00:46,656
2022-09-24T15:11:06,655
2022-09-24T15:21:26,610
2022-09-24T15:31:45,596
2022-09-24T15:42:04,657
2022-09-24T15:52:24,670
2022-09-24T16:02:44,651
2022-09-24T16:13:04,646
2022-09-24T16:23:24,651
2022-09-24T16:33:44,620
2022-09-24T16:44:04,631
2022-09-24T16:54:24,621
2022-09-24T17:04:44,602
2022-09-24T17:15:05,610
2022-09-24T17:25:24,635
2022-09-24T17:35:44,646
2022-09-24T17:46:03,573
2022-09-24T17:56:23,593
2022-09-24T18:06:43,590
2022-09-24T18:17:03,595
2022-09-24T18:27:23,583
2022-09-24T18:37:43,594
2022-09-24T18:48:03,587
2022-09-24T18:58:23,591
2022-09-24T19:08:43,578
2022-09-24T19:19:04,563
2022-09-24T19:29:23,595
2022-09-24T19:39:43,623
2022-09-24T19:50:03,625
2022-09-24T20:00:23,620
2022-09-24T20:10:42,611
2022-09-24T20:21:02,586
2022-09-24T20:31:21,550
2022-09-24T20:41:41,582
2022-09-24T20:52:01,597
2022-09-24T21:02:21,590
2022-09-24T21:12:41,633
2022-09-24T21:23:00,719
2022-09-24T21:33:21,737
2022-09-24T21:43:41,725
2022-09-24T21:54:01,734
2022-09-24T22:04:20,730
2022-09-24T22:14:40,720
2022-09-24T22:24:59,713
2022-09-24T22:35:19,722
2022-09-24T22:45:39,712
2022-09-24T22:55:59,717
2022-09-24T23:06:19,713
2022-09-24T23:16:38,716
2022-09-24T23:26:58,725
2022-09-24T23:37:18,728
2022-09-24T23:47:38,736
2022-09-24T23:57:57,735
