time,co2
2022-09-09T21:43:59,1165
2022-09-09T21:44:43,1351
2022-09-09T21:49:44,1117
2022-09-09T21:54:44,1108
2022-09-09T21:59:44,1109
2022-09-09T22:04:44,1113
2022-09-09T22:09:45,1111
2022-09-09T22:14:45,1107
2022-09-09T22:19:45,1103
2022-09-09T22:24:45,1107
2022-09-09T22:29:46,1100
2022-09-09T22:34:46,1094
2022-09-09T22:39:46,1091
2022-09-09T22:44:46,1084
2022-09-09T22:49:47,1086
2022-09-09T22:54:47,1085
2022-09-09T22:59:47,1077
2022-09-09T23:04:47,1076
2022-09-09T23:09:48,1076
2022-09-09T23:14:48,1061
2022-09-09T23:19:48,1066
2022-09-09T23:24:48,1062
2022-09-09T23:29:49,1060
2022-09-09T23:34:49,1065
2022-09-09T23:39:49,1057
2022-09-09T23:44:50,1054
2022-09-09T23:49:50,1053
2022-09-09T23:54:50,1045
2022-09-09T23:59:50,1043
