time,co2
2022-09-17T10:19:39,634
2022-09-17T10:20:08,559
2022-09-17T10:20:54,537
2022-09-17T10:25:54,552
2022-09-17T10:30:54,516
2022-09-17T10:35:55,497
2022-09-17T10:40:55,493
2022-09-17T10:45:55,495
2022-09-17T10:50:56,493
2022-09-17T10:55:56,494
2022-09-17T11:00:56,495
2022-09-17T11:05:57,489
2022-09-17T11:10:57,489
2022-09-17T11:15:57,492
2022-09-17T11:20:57,487
2022-09-17T11:25:58,496
2022-09-17T11:30:58,512
2022-09-17T11:35:58,513
2022-09-17T11:40:59,502
2022-09-17T11:45:59,500
2022-09-17T11:50:59,500
2022-09-17T11:56:00,490
2022-09-17T12:01:00,520
2022-09-17T12:06:01,532
2022-09-17T12:11:01,494
2022-09-17T12:16:01,476
2022-09-17T12:21:02,504
2022-09-17T12:26:02,538
2022-09-17T12:31:02,524
2022-09-17T12:36:02,523
2022-09-17T12:41:03,527
2022-09-17T12:46:03,526
2022-09-17T12:51:03,544
2022-09-17T12:56:04,515
2022-09-17T13:01:04,518
2022-09-17T13:06:04,485
2022-09-17T13:11:05,542
2022-09-17T13:16:05,526
2022-09-17T13:21:05,543
2022-09-17T13:26:06,549
2022-09-17T13:31:06,540
2022-09-17T13:36:06,573
2022-09-17T13:41:07,553
2022-09-17T13:46:07,549
2022-09-17T13:51:07,568
2022-09-17T13:56:07,544
2022-09-17T14:01:08,542
2022-09-17T14:06:08,595
2022-09-17T14:11:08,619
2022-09-17T14:16:09,680
2022-09-17T14:21:09,723
2022-09-17T14:26:09,765
2022-09-17T14:31:10,805
2022-09-17T14:36:10,844
2022-09-17T14:41:10,730
2022-09-17T14:46:11,668
2022-09-17T14:51:11,663
2022-09-17T14:56:11,631
2022-09-17T15:01:12,583
2022-09-17T15:06:12,539
2022-09-17T15:11:12,503
2022-09-17T15:16:13,520
2022-09-17T15:21:13,529
2022-09-17T15:26:13,524
2022-09-17T15:31:14,541
2022-09-17T15:36:14,511
2022-09-17T15:41:14,513
2022-09-17T15:46:15,538
2022-09-17T16:16:39,686
2022-09-17T16:21:40,967
2022-09-17T21:48:19,1225
2022-09-17T21:53:19,592
2022-09-17T21:58:20,586
2022-09-17T22:03:20,577
2022-09-17T22:08:20,566
2022-09-17T22:13:20,496
2022-09-17T22:18:21,531
2022-09-17T22:23:21,554
2022-09-17T22:28:21,551
2022-09-17T22:33:22,540
2022-09-17T22:38:22,474
2022-09-17T22:43:22,542
2022-09-17T22:48:23,486
2022-09-17T22:53:23,513
2022-09-17T22:58:24,503
2022-09-17T23:03:24,504
2022-09-17T23:08:24,530
2022-09-17T23:13:25,510
2022-09-17T23:18:25,489
2022-09-17T23:23:25,459
2022-09-17T23:28:26,521
2022-09-17T23:33:26,478
2022-09-17T23:38:26,505
2022-09-17T23:43:27,479
2022-09-17T23:48:27,521
2022-09-17T23:53:27,517
2022-09-17T23:58:28,523
