time,co2
2022-09-26T00:02:01,632
2022-09-26T00:04:05,638
2022-09-26T00:06:09,636
2022-09-26T00:08:13,632
2022-09-26T00:10:17,632
2022-09-26T00:12:21,630
2022-09-26T00:14:25,618
2022-09-26T00:16:29,617
2022-09-26T00:18:33,611
2022-09-26T00:20:37,600
2022-09-26T00:22:42,614
2022-09-26T00:24:46,617
2022-09-26T00:26:50,603
2022-09-26T00:28:54,590
2022-09-26T00:30:58,599
2022-09-26T00:33:02,594
2022-09-26T00:35:06,602
2022-09-26T00:37:10,613
2022-09-26T00:39:14,611
2022-09-26T00:41:19,610
2022-09-26T00:43:23,608
2022-09-26T00:45:27,605
2022-09-26T00:47:31,607
2022-09-26T00:49:35,610
2022-09-26T00:51:39,614
2022-09-26T00:53:43,603
2022-09-26T00:55:47,592
2022-09-26T00:57:51,593
2022-09-26T00:59:55,597
2022-09-26T01:01:59,593
2022-09-26T01:04:04,605
2022-09-26T01:06:08,598
2022-09-26T01:08:12,599
2022-09-26T01:10:15,608
2022-09-26T01:12:19,603
2022-09-26T01:14:23,596
2022-09-26T01:16:28,599
2022-09-26T01:18:32,601
2022-09-26T01:20:36,606
2022-09-26T01:22:40,607
2022-09-26T01:24:44,604
2022-09-26T01:26:48,589
2022-09-26T01:28:52,589
2022-09-26T01:30:56,593
2022-09-26T01:33:00,596
2022-09-26T01:35:04,585
2022-09-26T01:37:08,588
2022-09-26T01:39:12,588
2022-09-26T01:41:16,584
2022-09-26T01:43:20,571
2022-09-26T01:45:24,570
2022-09-26T01:47:28,571
2022-09-26T01:49:32,558
2022-09-26T01:51:36,561
2022-09-26T01:53:40,562
2022-09-26T01:55:44,561
2022-09-26T01:57:48,566
2022-09-26T01:59:52,568
2022-09-26T02:01:57,575
2022-09-26T02:04:01,566
2022-09-26T02:06:05,560
2022-09-26T02:08:09,562
2022-09-26T02:10:13,564
2022-09-26T02:12:17,561
2022-09-26T02:14:21,558
2022-09-26T02:16:25,562
2022-09-26T02:18:29,559
2022-09-26T02:20:33,548
2022-09-26T02:22:37,543
2022-09-26T02:24:42,551
2022-09-26T02:26:46,558
2022-09-26T02:28:50,548
2022-09-26T02:30:54,547
2022-09-26T02:32:58,544
2022-09-26T02:35:02,543
