time,co2
2022-09-22T00:01:12,781
2022-09-22T00:11:31,780
2022-09-22T00:21:51,775
2022-09-22T00:32:10,780
2022-09-22T00:42:30,790
2022-09-22T00:52:49,793
2022-09-22T01:03:08,799
2022-09-22T01:13:28,799
2022-09-22T01:23:48,802
2022-09-22T01:34:08,806
2022-09-22T01:44:27,803
2022-09-22T01:54:47,794
2022-09-22T02:05:06,806
2022-09-22T02:15:26,801
2022-09-22T02:25:45,808
2022-09-22T02:36:04,804
2022-09-22T02:46:24,797
2022-09-22T02:56:43,798
2022-09-22T03:07:02,794
2022-09-22T03:17:22,798
2022-09-22T03:27:41,797
2022-09-22T03:38:01,800
2022-09-22T03:48:21,799
2022-09-22T03:58:40,791
2022-09-22T04:09:00,777
2022-09-22T04:19:19,779
2022-09-22T04:29:39,782
2022-09-22T04:39:59,780
2022-09-22T04:50:18,772
2022-09-22T05:00:37,879
2022-09-22T05:10:57,948
2022-09-22T05:21:16,897
2022-09-22T05:31:36,915
2022-09-22T05:41:55,958
2022-09-22T05:52:15,985
2022-09-22T06:02:35,985
2022-09-22T06:12:54,975
2022-09-22T06:23:13,954
2022-09-22T06:33:33,926
2022-09-22T06:43:53,905
2022-09-22T06:54:12,895
2022-09-22T07:04:32,878
2022-09-22T07:14:52,862
2022-09-22T07:25:12,988
2022-09-22T07:35:32,962
2022-09-22T07:45:52,930
2022-09-22T07:56:12,917
2022-09-22T08:06:32,910
2022-09-22T08:16:52,910
2022-09-22T08:27:12,895
2022-09-22T08:37:32,890
2022-09-22T08:47:52,888
2022-09-22T08:58:12,861
2022-09-22T09:08:32,825
2022-09-22T09:18:52,801
2022-09-22T09:29:12,810
2022-09-22T09:39:31,829
2022-09-22T09:49:51,810
2022-09-22T10:00:10,803
2022-09-22T10:10:30,787
2022-09-22T10:20:50,784
2022-09-22T10:31:09,774
2022-09-22T10:41:29,769
2022-09-22T10:51:48,787
2022-09-22T11:02:07,802
2022-09-22T11:12:27,863
2022-09-22T11:22:46,859
2022-09-22T11:33:05,833
2022-09-22T11:43:25,822
2022-09-22T11:53:44,821
2022-09-22T12:04:04,832
2022-09-22T12:14:23,830
2022-09-22T12:24:42,774
2022-09-22T12:35:02,754
2022-09-22T12:45:22,724
2022-09-22T12:55:42,703
2022-09-22T13:06:02,697
2022-09-22T13:16:21,687
2022-09-22T13:26:41,676
2022-09-22T13:37:00,666
2022-09-22T13:47:19,649
2022-09-22T13:57:39,641
2022-09-22T14:07:59,645
2022-09-22T14:18:18,636
2022-09-22T14:28:38,673
2022-09-22T14:38:57,755
2022-09-22T14:49:16,743
2022-09-22T14:59:35,855
2022-09-22T15:09:54,804
2022-09-22T15:20:13,811
2022-09-22T15:30:33,800
2022-09-22T15:40:52,801
2022-09-22T15:51:11,795
2022-09-22T16:01:30,776
2022-09-22T16:11:49,775
2022-09-22T16:22:08,812
2022-09-22T16:32:28,802
2022-09-22T16:42:47,836
2022-09-22T16:53:06,856
2022-09-22T17:03:25,879
2022-09-22T17:13:43,866
2022-09-22T17:24:02,841
2022-09-22T17:34:21,838
2022-09-22T17:44:40,824
2022-09-22T17:54:59,817
2022-09-22T18:05:18,851
2022-09-22T18:15:37,863
2022-09-22T18:25:56,852
2022-09-22T18:36:15,836
2022-09-22T18:46:34,819
2022-09-22T18:56:53,800
2022-09-22T19:07:12,725
2022-09-22T19:17:32,701
2022-09-22T19:27:51,804
2022-09-22T19:38:10,816
2022-09-22T19:48:28,860
2022-09-22T19:58:47,810
2022-09-22T20:09:06,726
2022-09-22T20:19:26,844
2022-09-22T20:29:45,799
2022-09-22T20:40:04,830
2022-09-22T20:50:23,845
2022-09-22T21:00:42,822
2022-09-22T21:11:01,838
2022-09-22T21:21:20,848
2022-09-22T21:31:39,869
2022-09-22T21:41:58,867
2022-09-22T21:52:17,879
2022-09-22T22:02:36,887
2022-09-22T22:12:55,870
2022-09-22T22:23:14,862
2022-09-22T22:33:34,862
2022-09-22T22:43:53,847
2022-09-22T22:54:12,831
2022-09-22T23:04:31,833
2022-09-22T23:14:51,847
2022-09-22T23:25:11,851
2022-09-22T23:35:30,859
2022-09-22T23:45:50,863
2022-09-22T23:56:09,876
